Store,Date,Weekly_Expenses
1,2/5/2010 0:00,320731
1,2/12/2010 0:00,352408
1,2/19/2010 0:00,662976
1,2/26/2010 0:00,562197
1,3/5/2010 0:00,675446
1,3/12/2010 0:00,478764
1,3/19/2010 0:00,533426
1,3/26/2010 0:00,412147
1,4/2/2010 0:00,479277
1,4/9/2010 0:00,324037
1,4/16/2010 0:00,350571
1,4/23/2010 0:00,346561
1,4/30/2010 0:00,433854
1,5/7/2010 0:00,525623
1,5/14/2010 0:00,478881
1,5/21/2010 0:00,655868
1,5/28/2010 0:00,656688
1,6/4/2010 0:00,416828
1,6/11/2010 0:00,641558
1,6/18/2010 0:00,378237
1,6/25/2010 0:00,687130
1,7/2/2010 0:00,590437
1,7/9/2010 0:00,522974
1,7/16/2010 0:00,625941
1,7/23/2010 0:00,672877
1,7/30/2010 0:00,342033
1,8/6/2010 0:00,639572
1,8/13/2010 0:00,593575
1,8/20/2010 0:00,339956
1,8/27/2010 0:00,386969
1,9/3/2010 0:00,535376
1,9/10/2010 0:00,434620
1,9/17/2010 0:00,566899
1,9/24/2010 0:00,494422
1,10/1/2010 0:00,505948
1,10/8/2010 0:00,423993
1,10/15/2010 0:00,508929
1,10/22/2010 0:00,578824
1,10/29/2010 0:00,698122
1,11/5/2010 0:00,593346
1,11/12/2010 0:00,630859
1,11/19/2010 0:00,482735
1,11/26/2010 0:00,643772
1,12/3/2010 0:00,581799
1,12/10/2010 0:00,672898
1,12/17/2010 0:00,659793
1,12/24/2010 0:00,659124
1,12/31/2010 0:00,365611
1,1/7/2011 0:00,404249
1,1/14/2011 0:00,603862
1,1/21/2011 0:00,326915
1,1/28/2011 0:00,389998
1,2/4/2011 0:00,659811
1,2/11/2011 0:00,520645
1,2/18/2011 0:00,583034
1,2/25/2011 0:00,335435
1,3/4/2011 0:00,344562
1,3/11/2011 0:00,405714
1,3/18/2011 0:00,356377
1,3/25/2011 0:00,553614
1,4/1/2011 0:00,559369
1,4/8/2011 0:00,324409
1,4/15/2011 0:00,517995
1,4/22/2011 0:00,576647
1,4/29/2011 0:00,404293
1,5/6/2011 0:00,308863
1,5/13/2011 0:00,521561
1,5/20/2011 0:00,570423
1,5/27/2011 0:00,519924
1,6/3/2011 0:00,465544
1,6/10/2011 0:00,580522
1,6/17/2011 0:00,471333
1,6/24/2011 0:00,614125
1,7/1/2011 0:00,632947
1,7/8/2011 0:00,412448
1,7/15/2011 0:00,396001
1,7/22/2011 0:00,629589
1,7/29/2011 0:00,647865
1,8/5/2011 0:00,515707
1,8/12/2011 0:00,627297
1,8/19/2011 0:00,377543
1,8/26/2011 0:00,454242
1,9/2/2011 0:00,494978
1,9/9/2011 0:00,692096
1,9/16/2011 0:00,548062
1,9/23/2011 0:00,586023
1,9/30/2011 0:00,566982
1,10/7/2011 0:00,501150
1,10/14/2011 0:00,625376
1,10/21/2011 0:00,384035
1,10/28/2011 0:00,504200
1,11/4/2011 0:00,399427
1,11/11/2011 0:00,375912
1,11/18/2011 0:00,594580
1,11/25/2011 0:00,565576
1,12/2/2011 0:00,652933
1,12/9/2011 0:00,368660
1,12/16/2011 0:00,314079
1,12/23/2011 0:00,413415
1,12/30/2011 0:00,680976
1,1/6/2012 0:00,368327
1,1/13/2012 0:00,589152
1,1/20/2012 0:00,485327
1,1/27/2012 0:00,407010
1,2/3/2012 0:00,611518
1,2/10/2012 0:00,446404
1,2/17/2012 0:00,613072
1,2/24/2012 0:00,483425
1,3/2/2012 0:00,501029
1,3/9/2012 0:00,658891
1,3/16/2012 0:00,618358
1,3/23/2012 0:00,656416
1,3/30/2012 0:00,375072
1,4/6/2012 0:00,453427
1,4/13/2012 0:00,379275
1,4/20/2012 0:00,487903
1,4/27/2012 0:00,356509
1,5/4/2012 0:00,597182
1,5/11/2012 0:00,486903
1,5/18/2012 0:00,610402
1,5/25/2012 0:00,490182
1,6/1/2012 0:00,474543
1,6/8/2012 0:00,399055
1,6/15/2012 0:00,415973
1,6/22/2012 0:00,669285
1,6/29/2012 0:00,664577
1,7/6/2012 0:00,460358
1,7/13/2012 0:00,559711
1,7/20/2012 0:00,617613
1,7/27/2012 0:00,485999
1,8/3/2012 0:00,374740
1,8/10/2012 0:00,320450
1,8/17/2012 0:00,426640
1,8/24/2012 0:00,696296
1,8/31/2012 0:00,405158
1,9/7/2012 0:00,604881
1,9/14/2012 0:00,609779
1,9/21/2012 0:00,494075
1,9/28/2012 0:00,609605
1,10/5/2012 0:00,437582
1,10/12/2012 0:00,309384
1,10/19/2012 0:00,565420
1,10/26/2012 0:00,479080
2,2/5/2010 0:00,586076
2,2/12/2010 0:00,396880
2,2/19/2010 0:00,420353
2,2/26/2010 0:00,606342
2,3/5/2010 0:00,576360
2,3/12/2010 0:00,634944
2,3/19/2010 0:00,356626
2,3/26/2010 0:00,390941
2,4/2/2010 0:00,653673
2,4/9/2010 0:00,693348
2,4/16/2010 0:00,386908
2,4/23/2010 0:00,590610
2,4/30/2010 0:00,331176
2,5/7/2010 0:00,564105
2,5/14/2010 0:00,647796
2,5/21/2010 0:00,533056
2,5/28/2010 0:00,467699
2,6/4/2010 0:00,305104
2,6/11/2010 0:00,424040
2,6/18/2010 0:00,578299
2,6/25/2010 0:00,547083
2,7/2/2010 0:00,536149
2,7/9/2010 0:00,545667
2,7/16/2010 0:00,333917
2,7/23/2010 0:00,309980
2,7/30/2010 0:00,438717
2,8/6/2010 0:00,339277
2,8/13/2010 0:00,523319
2,8/20/2010 0:00,461933
2,8/27/2010 0:00,546857
2,9/3/2010 0:00,524040
2,9/10/2010 0:00,694850
2,9/17/2010 0:00,397062
2,9/24/2010 0:00,478021
2,10/1/2010 0:00,348863
2,10/8/2010 0:00,521499
2,10/15/2010 0:00,533461
2,10/22/2010 0:00,344367
2,10/29/2010 0:00,503040
2,11/5/2010 0:00,422868
2,11/12/2010 0:00,437250
2,11/19/2010 0:00,669467
2,11/26/2010 0:00,410589
2,12/3/2010 0:00,524715
2,12/10/2010 0:00,358521
2,12/17/2010 0:00,333420
2,12/24/2010 0:00,520899
2,12/31/2010 0:00,442736
2,1/7/2011 0:00,328768
2,1/14/2011 0:00,393056
2,1/21/2011 0:00,666797
2,1/28/2011 0:00,470162
2,2/4/2011 0:00,421736
2,2/11/2011 0:00,350570
2,2/18/2011 0:00,675774
2,2/25/2011 0:00,349041
2,3/4/2011 0:00,375938
2,3/11/2011 0:00,415745
2,3/18/2011 0:00,323971
2,3/25/2011 0:00,552595
2,4/1/2011 0:00,588752
2,4/8/2011 0:00,477021
2,4/15/2011 0:00,600980
2,4/22/2011 0:00,554050
2,4/29/2011 0:00,684958
2,5/6/2011 0:00,509251
2,5/13/2011 0:00,542480
2,5/20/2011 0:00,433265
2,5/27/2011 0:00,645279
2,6/3/2011 0:00,692500
2,6/10/2011 0:00,678053
2,6/17/2011 0:00,458408
2,6/24/2011 0:00,541978
2,7/1/2011 0:00,470969
2,7/8/2011 0:00,491942
2,7/15/2011 0:00,417389
